,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
210,Hun,75,BE,1551654166,71,50.34,4.87,55.0,20.8
211,Nizhniy Tsasuchey,24,RU,1551654188,75,50.52,115.13,20.47,11.01
212,Treinta y Tres,0,UY,1551654189,61,-33.23,-54.39,67.76,10.11
213,Mocuba,32,MZ,1551654189,96,-16.84,36.99,74.74,6.98
214,Kutum,0,SD,1551654189,34,14.2,24.66,57.73,8.66
215,Mersing,36,MY,1551654190,85,2.43,103.84,77.62,7.43
216,Heide,75,DE,1551654180,87,54.19,9.09,50.0,20.8
217,Guerrero Negro,0,MX,1551653778,71,27.97,-114.04,63.8,16.37
218,Carutapera,44,BR,1551654191,97,-1.2,-46.02,74.74,4.85
219,Rundu,80,NA,1551654191,70,-17.91,19.77,70.55,1.61
220,Irricana,20,CA,1551654179,38,51.32,-113.6,10.99,5.82
221,Chimbarongo,75,CL,1551650400,43,-34.71,-71.04,73.4,11.41
222,Haines Junction,56,CA,1551653776,78,60.75,-137.51,13.27,2.62
223,Energetik,0,RU,1551654192,78,51.74,58.8,13.58,13.02
224,Kavieng,8,PG,1551653740,97,-2.57,150.8,85.09,3.96
225,Ribeira Grande,75,PT,1551650400,76,38.52,-28.7,55.4,6.93
226,Vestmannaeyjar,80,IS,1551654193,95,63.44,-20.27,37.57,13.8
227,De-Kastri,0,RU,1551654193,92,51.48,140.77,14.89,6.2
228,Tari,56,NG,1551654194,31,12.41,4.49,73.57,4.18
229,Bardejov,40,SK,1551654034,86,49.29,21.28,39.99,3.36
230,Lillooet,1,CA,1551650400,30,50.69,-121.94,28.4,4.7
231,Bien Hoa,20,VN,1551650400,83,10.95,106.82,77.0,3.36
232,Nara,75,JP,1551654064,100,34.68,135.8,50.0,1.12
233,Orapa,36,BW,1551654195,34,-21.28,25.37,80.23,7.54
234,Katsuura,90,JP,1551653682,93,33.93,134.5,50.0,4.7
235,Bundaberg,90,AU,1551653108,78,-24.87,152.35,82.0,12.75
236,Brigantine,90,US,1551654179,100,39.41,-74.36,39.0,3.36
237,Mineiros,12,BR,1551654063,87,-17.57,-52.55,71.18,4.18
238,Nome,90,US,1551653730,71,30.04,-94.42,54.0,20.8
239,Louga,0,SN,1551650400,49,15.62,-16.22,68.0,9.17
240,Tonbridge,20,GB,1551654194,81,51.19,0.27,50.0,14.99
241,Bumba,44,CD,1551654197,98,2.18,22.47,69.7,2.95
242,Antalaha,80,MG,1551654197,96,-14.9,50.28,77.71,5.97
243,Kawardha,0,IN,1551654198,88,22.01,81.23,55.12,2.39
244,Hovd,75,NO,1551654015,74,63.83,10.7,32.0,11.41
245,Yellowknife,20,CA,1551650400,36,62.45,-114.38,12.2,6.93
246,Bambous Virieux,40,MU,1551653646,83,-20.34,57.76,80.6,6.93
247,Coquimbo,20,CL,1551650400,72,-29.95,-71.34,66.2,12.75
248,Nikolskoye,20,RU,1551653434,92,59.7,30.79,16.0,4.47
249,Port Alfred,0,ZA,1551653666,90,-33.59,26.89,66.99,1.01
250,Kapit,88,MY,1551654200,97,2.02,112.94,73.84,2.84
251,Puerto Madero,0,AR,1551654196,73,-34.61,-58.36,77.0,13.87
252,Conil,0,FR,1551654200,41,44.97,3.72,44.95,9.22
253,Tessalit,0,ML,1551654092,23,20.2,1.01,54.58,6.98
254,Eirunepe,24,BR,1551654108,70,-6.66,-69.87,81.98,3.74
255,Araouane,0,ML,1551654201,36,18.9,-3.53,52.6,4.07
256,Carballo,40,ES,1551654153,71,43.21,-8.69,55.99,16.11
257,Puerto Ayora,40,EC,1551650400,70,-0.74,-90.35,86.0,11.41
258,Santa Fe,56,AR,1551654181,63,-31.62,-60.7,86.0,8.01
259,Kuito,44,AO,1551654205,89,-12.38,16.94,59.62,3.85
260,Poya,32,NC,1551654206,90,-21.35,165.16,78.61,4.85
261,Hami,0,CN,1551654206,61,42.84,93.51,22.76,5.86
262,Shelburne,90,CA,1551654188,85,44.08,-80.2,27.0,6.93
263,Dikson,36,RU,1551653745,95,73.51,80.55,-5.14,24.32
264,Souillac,0,FR,1551653730,38,45.6,-0.6,62.6,10.29
265,Tshikapa,48,CD,1551654207,97,-6.42,20.79,73.12,1.83
266,Olga,75,US,1551654205,67,34.11,-118.17,64.99,5.82
267,Makakilo City,20,US,1551653749,39,21.35,-158.09,78.8,6.93
268,Tiksi,44,RU,1551653717,67,71.64,128.87,-5.14,9.22
269,Baruun-Urt,44,MN,1551654208,45,46.68,113.28,18.67,7.2
270,Nabire,32,ID,1551653614,87,-3.36,135.5,74.38,1.72
271,Skutec,0,CZ,1551654119,65,49.84,16.0,48.0,6.93
272,Rome,40,IT,1551654183,87,41.89,12.48,52.0,3.36
273,Nanzhang,36,CN,1551654209,85,31.78,111.84,33.07,2.17
274,Chokurdakh,44,RU,1551653768,71,70.62,147.9,-10.41,5.86
275,Panzhihua,56,CN,1551654210,37,26.59,101.72,55.16,6.64
276,Tautira,20,PF,1551653589,62,-17.73,-149.15,89.6,5.82
277,Minas Novas,68,BR,1551654211,80,-17.22,-42.59,71.59,7.99
278,Tromso,90,NO,1551654020,92,69.65,18.96,19.4,11.41
279,Sorland,20,NO,1551649800,73,67.67,12.69,19.4,2.24
280,Kruisfontein,0,ZA,1551653826,84,-34.0,24.73,60.52,6.42
281,Moron,8,VE,1551654212,74,10.49,-68.2,72.35,3.96
282,Kaspiysk,90,RU,1551650400,80,42.88,47.64,35.6,4.47
283,Karlstad,90,SE,1551653400,100,59.38,13.5,33.8,5.82
284,Labuhan,8,ID,1551653821,86,-2.54,115.51,77.35,2.28
285,Sisimiut,48,GL,1551654213,57,66.94,-53.67,-2.04,1.95
286,Oistins,20,BB,1551650400,69,13.07,-59.53,78.8,19.46
287,Alexandria,90,US,1551654024,87,31.31,-92.44,50.0,6.93
288,Vardo,90,US,1551653721,94,39.62,-77.74,34.0,8.05
289,Sabha,0,LY,1551654215,54,27.03,14.43,49.36,4.74
290,Morros,75,BR,1551650400,88,-2.87,-44.04,78.8,9.17
291,Rupert,40,US,1551653580,59,42.62,-113.68,37.4,3.36
292,Zhangye,20,CN,1551654181,69,38.94,100.46,16.87,2.39
293,Areosa,75,PT,1551654190,93,41.72,-8.86,57.99,6.93
294,Klaksvik,92,FO,1551651600,81,62.23,-6.59,42.8,6.93
295,Gat,0,SN,1551652200,56,14.69,-16.54,68.0,18.34
296,Salalah,20,OM,1551649800,61,17.01,54.1,77.0,4.7
297,Praxedis Guerrero,40,MX,1551654106,16,31.37,-106.02,75.99,17.22
298,Cervo,92,BR,1551654217,93,-22.19,-46.24,65.74,5.53
299,Tilichiki,80,RU,1551654218,84,60.47,166.1,19.93,4.85
300,Taoudenni,0,ML,1551653747,30,22.68,-3.98,51.83,5.97
301,Walvis Bay,36,NA,1551650529,82,-22.95,14.51,66.99,8.05
302,Theunissen,0,ZA,1551654218,70,-28.4,26.71,59.62,3.06
303,Tomatlan,0,MX,1551654219,65,19.93,-105.25,80.41,3.51
304,Taksimo,68,RU,1551654224,71,56.36,114.84,10.3,2.39
305,Petropavlovsk-Kamchatskiy,56,RU,1551650400,60,53.05,158.65,8.6,8.95
306,Nuuk,0,GL,1551649800,92,64.17,-51.74,21.2,5.82
307,Safford,1,US,1551654014,25,32.83,-109.71,73.4,16.11
308,Mount Barker,0,AU,1551654214,56,-35.06,138.86,77.0,5.82
309,Henties Bay,8,NA,1551654125,86,-22.12,14.28,66.99,1.99
310,Buraydah,0,SA,1551650400,62,26.33,43.97,53.6,5.82
311,Kahului,20,US,1551653784,41,20.89,-156.47,80.01,14.99
312,Liwale,44,TZ,1551654226,95,-9.8,37.92,70.24,2.17
313,Ust-Omchug,0,RU,1551654226,63,61.13,149.63,-16.12,3.51
314,Fortuna,0,ES,1551653782,76,38.18,-1.13,60.01,2.24
315,Honningsvag,75,NO,1551653400,73,70.98,25.97,21.2,16.11
316,Los Llanos de Aridane,40,ES,1551653103,63,28.66,-17.92,64.4,8.05
317,Antibes,0,FR,1551654102,81,43.58,7.11,52.0,9.17
318,Kholm,88,RU,1551654227,97,57.15,31.18,27.04,10.89
319,Port Blair,0,IN,1551653783,100,11.67,92.75,80.95,3.4
320,Port-Gentil,75,GA,1551650400,78,-0.72,8.78,82.4,5.82
321,Gornopravdinsk,76,RU,1551654228,79,60.06,69.92,21.37,12.46
322,Port Hardy,90,CA,1551653400,74,50.7,-127.42,33.8,20.8
323,Vanimo,92,PG,1551654228,100,-2.67,141.3,81.94,11.9
324,Petrovskoye,0,RU,1551650400,92,56.26,36.47,17.6,6.71
325,Pangnirtung,64,CA,1551653772,66,66.15,-65.72,-9.55,0.94
326,Ketchikan,1,US,1551650160,19,55.34,-131.65,39.2,5.82
327,Chifeng,0,CN,1551654230,76,42.27,118.96,26.36,2.51
328,Avanigadda,0,IN,1551654230,89,16.02,80.92,76.36,7.76
329,Inirida,12,CO,1551654230,88,3.87,-67.92,78.07,2.62
330,Darlowo,92,PL,1551653989,92,54.42,16.41,40.63,6.76
331,Santa Rosa,92,AR,1551654233,90,-36.62,-64.29,68.17,7.87
332,Leh,68,IN,1551654233,73,34.16,77.58,-5.37,1.39
333,Tecoanapa,5,MX,1551653280,74,16.99,-99.26,82.4,13.87
334,Barra Patuca,100,HN,1551654234,88,15.8,-84.28,79.46,11.01
335,Mount Gambier,8,AU,1551650400,100,-37.83,140.78,55.4,4.7
336,Svetlogorsk,75,RU,1551650400,66,53.14,59.15,14.0,6.71
337,Bo Phloi,0,TH,1551654234,85,14.32,99.52,74.06,3.62
338,Yerofey Pavlovich,36,RU,1551653739,74,53.97,121.97,10.25,2.39
339,Senno,92,RU,1551650400,92,57.76,27.95,28.4,6.71
340,Mirabad,12,IR,1551654235,95,28.27,61.33,42.56,2.39
341,Alihe,48,CN,1551654236,65,50.57,123.73,13.45,2.51
342,Lubao,75,PH,1551654070,83,14.94,120.6,78.01,4.7
343,Hamilton,75,BM,1551653519,94,32.3,-64.78,68.0,3.36
344,San Rafael,8,AR,1551654237,77,-34.61,-68.33,60.88,3.85
345,Bodden Town,20,KY,1551654004,78,19.28,-81.25,82.4,10.29
346,Atar,0,MR,1551654237,23,20.52,-13.05,61.55,8.88
347,Hokitika,76,NZ,1551654092,99,-42.72,170.96,60.25,6.98
348,Ostrovnoy,36,RU,1551653727,69,68.05,39.51,-2.62,6.2
349,Awjilah,0,LY,1551653799,78,29.14,21.3,49.99,7.99
350,Ancud,90,CL,1551650400,87,-41.87,-73.83,53.6,4.7
351,Ayan,0,TR,1551654239,70,40.67,33.6,14.8,2.62
352,Sitka,56,US,1551653222,75,37.17,-99.65,10.99,10.0
353,Ponca City,1,US,1551653790,52,36.73,-97.07,24.8,18.34
354,Zhigalovo,20,RU,1551654239,69,54.81,105.15,7.87,2.17
355,Casino,92,AU,1551653966,83,-28.86,153.05,77.0,3.36
356,Lakes Entrance,0,AU,1551653747,75,-37.88,147.99,75.99,1.01
357,Bombo,20,UG,1551652200,73,0.58,32.54,75.2,16.11
358,Portland,20,US,1551654143,27,45.52,-122.67,44.6,26.4
359,Begles,0,FR,1551654239,33,44.81,-0.55,64.4,12.75
360,Sinegorye,44,RU,1551654241,78,62.09,150.53,-10.41,2.62
361,Bilma,0,NE,1551654242,25,18.69,12.92,55.3,9.78
362,Collie,0,AU,1551654011,43,-33.36,116.15,66.0,11.23
363,Khash,12,IR,1551654243,95,28.22,61.21,42.56,2.39
364,Pomabamba,68,PE,1551654243,96,-8.82,-77.46,46.16,2.17
365,Aklavik,75,CA,1551650400,51,68.22,-135.01,12.2,3.36
366,Oranjemund,56,ZA,1551653848,92,-28.55,16.43,62.95,8.21
367,Biak,12,ID,1551654244,86,-0.91,122.88,82.66,3.18
368,Mount Pleasant,90,US,1551654009,80,33.16,-94.97,39.0,16.11
369,Pagudpud,20,PH,1551650400,88,18.56,120.79,68.0,2.24
370,Yangjiang,100,CN,1551654245,100,21.85,111.96,69.79,14.7
371,Kavaratti,8,IN,1551654246,100,10.57,72.64,81.76,10.67
